廣西壯族自治區全境大多位於哪座高原上？,雲貴高原,黃土高原,青藏高原,A
廣州銷菸引發了哪個件呢?,英法聯軍,太平天國,鴉片戰爭,C
郭懷一、朱一貴、林爽文等人的共同特色是?,官逼民反,科舉榜首,行會衝突,A
國民黨發動二次革命的原因之一是因為何人被暗殺身亡？,孫中山,宋教仁,黃興,B
漢武帝卻積極推行何種專賣政策，以擴充國家財源？,煙、酒、鹽,鹽、鐵、酒,煙、鐵、酒,B
漢武帝為了征伐匈奴，因此推行了哪一項政策？,專賣政策,獨尊儒術,舉荐人才,A
合掌村位於下列何地呢?,中國,印度,日本,C
何人北伐受挫，決定將臺灣做為反清復明的基地？,鄭成功,鄭芝龍,鄭克塽,A
何人曾招募漢人，開墾今雲林、嘉義一帶，開啟漢人來臺拓墾的風氣？,顏思齊,郭懷一,吳沙,A
何人代唐自立，建立後梁？,王莽,朱溫,朱青,B
何種界的生物全部都必須從外界才能獲得養分？,原核,原生,菌物,C
荷蘭人曾在大員建立下列哪一個建築物？,普羅民遮城,熱蘭遮城,熱蘭遮城,B
荷蘭人統治臺灣時，曾在赤崁地區建立商業市鎮，該市鎮名稱為何？,熱蘭遮,普羅民遮,巴達維亞,B
橫亙於西南邊境的喜馬拉雅山與下列哪個地形區為鄰？,雲貴高原,四川盆地,青藏高原,C
華北平原的農業生產最需要的是下列哪項建設？,水利工程,交通運輸,機械化設備,A
劃分中國人口分布的界線，是連接哪兩個地方的連線？,黑河─騰衝線,秦嶺─淮河線,秦嶺─騰衝線,A
黃河得名的主要原因為何?,神話傳說,含沙量大,地方古諺,B
黃河下游地區在春季末期曾出現哪種現象？,水汙染,土石流,斷流,C
黃牛原非臺灣特產，其實是在哪一時期由外地引進的？,明鄭,荷蘭,清領後期,B
黃土高原的黃土主要是經由下列哪種作用力所形成？,風力侵蝕,河流沖積,風力堆積,C
幾歲以下的犯罪者原則上不以刑法處罰呢?,7,12,14,C
季風氣候區溫暖溼潤，降水量豐沛，因此適合什麼產業的發展？,農業,漁業,牧業,A
季風亞洲區應是以哪種農業為主？,粗放農業,集約農業,高地農業,B
加工出口區奠基於臺灣的何項優勢?,勞力便宜,能源豐富,資本雄厚,A
加入WTO對我國的好處是?,減少壓力,物價下降,自由貿易,C
